legacy_url,filename,referenced_from,source_types,status,notes
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-13-16-21-16-371-1024x576.png,bandicam-2020-06-13-16-21-16-371-1024x576.png,/slay-the-spire-review/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-13-16-21-16-371-300x169.png,bandicam-2020-06-13-16-21-16-371-300x169.png,/slay-the-spire-review/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-13-16-21-16-371-768x432.png,bandicam-2020-06-13-16-21-16-371-768x432.png,/slay-the-spire-review/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-13-16-21-16-371.png,bandicam-2020-06-13-16-21-16-371.png,/slay-the-spire-review/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-13-16-54-37-904-1024x576.png,bandicam-2020-06-13-16-54-37-904-1024x576.png,/slay-the-spire-review/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-13-16-54-37-904-300x169.png,bandicam-2020-06-13-16-54-37-904-300x169.png,/slay-the-spire-review/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-13-16-54-37-904-768x432.png,bandicam-2020-06-13-16-54-37-904-768x432.png,/slay-the-spire-review/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-13-16-54-37-904.png,bandicam-2020-06-13-16-54-37-904.png,/slay-the-spire-review/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-13-16-55-42-590-1024x576.png,bandicam-2020-06-13-16-55-42-590-1024x576.png,/slay-the-spire-review/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-13-16-55-42-590-300x169.png,bandicam-2020-06-13-16-55-42-590-300x169.png,/slay-the-spire-review/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-13-16-55-42-590-768x432.png,bandicam-2020-06-13-16-55-42-590-768x432.png,/slay-the-spire-review/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-13-16-55-42-590.png,bandicam-2020-06-13-16-55-42-590.png,/slay-the-spire-review/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-13-17-59-13-653-1024x576.png,bandicam-2020-06-13-17-59-13-653-1024x576.png,/slay-the-spire-review/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-13-17-59-13-653-300x169.png,bandicam-2020-06-13-17-59-13-653-300x169.png,/slay-the-spire-review/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-13-17-59-13-653-768x432.png,bandicam-2020-06-13-17-59-13-653-768x432.png,/slay-the-spire-review/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-13-17-59-13-653.png,bandicam-2020-06-13-17-59-13-653.png,/slay-the-spire-review/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-15-17-46-12-088-1024x576.png,bandicam-2020-06-15-17-46-12-088-1024x576.png,/slay-the-spire-review/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-15-17-46-12-088-300x169.png,bandicam-2020-06-15-17-46-12-088-300x169.png,/slay-the-spire-review/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-15-17-46-12-088-768x432.png,bandicam-2020-06-15-17-46-12-088-768x432.png,/slay-the-spire-review/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-15-17-46-12-088.png,bandicam-2020-06-15-17-46-12-088.png,/slay-the-spire-review/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/bandicam-2020-06-19-19-47-20-649.png,bandicam-2020-06-19-19-47-20-649.png,/boundsint/,post-featured-media,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/Bounds_Contains-300x225.jpg,Bounds_Contains-300x225.jpg,/boundsint/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/Bounds_Contains-768x576.jpg,Bounds_Contains-768x576.jpg,/boundsint/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/Bounds_Contains.jpg,Bounds_Contains.jpg,/boundsint/,post-content,referenced,
